UNSECURED CREDIT CARD,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default#,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
SEP'24,"$2,114","$3,465","$4,224","$3,897","$3,276","$2,609","$1,846",,SEP'24,1.250%,1.610%,1.650%,1.180%,1.040%,0.690%,0.560%,,SEP'24,,,,,,,
OCT'24,"$2,178","$3,715","$4,437","$3,903","$3,243","$2,719","$1,862",,OCT'24,0.790%,1.300%,1.300%,1.500%,0.890%,0.570%,0.570%,,OCT'24,,,,0.045%,,,0.004%
NOV'24,"$2,442","$3,862","$4,883","$4,162","$3,307","$2,738","$1,888",,NOV'24,1.110%,1.380%,1.410%,1.260%,1.200%,0.830%,0.530%,,NOV'24,,,,,,,
DEC'24,"$2,071","$3,940","$4,390","$4,337","$3,264","$2,640","$1,897",,DEC'24,0.930%,1.070%,1.010%,1.040%,1.040%,0.660%,0.520%,,DEC'24,,,,,,,0.004%
AVG,"$2,314","$3,978","$4,855","$4,258","$3,309","$2,691","$1,910",,AVG,1.130%,1.510%,1.840%,1.300%,1.130%,0.770%,0.540%,,AVG,0.097%,0.079%,0.096%,0.046%,,0.043%,0.006%
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UNSECURED PERSONAL LOAN,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
DEC'23,"$5,498","$5,988","$6,778","$7,673","$9,275","$10,418","$7,197",,DEC'23,6.750%,4.170%,2.530%,3.060%,4.070%,4.500%,5.770%,,DEC'23,0.445%,0.423%,0.151%,0.095%,0.304%,0.100%,0.585%
JAN'24,"$5,408","$6,211","$6,413","$7,782","$8,999","$10,176","$7,553",,JAN'24,8.840%,4.700%,2.870%,2.810%,3.850%,4.810%,5.620%,,JAN'24,0.215%,0.127%,0.163%,0.188%,0.348%,0.332%,
FEB'24,"$5,586","$6,364","$6,536","$7,853","$8,844","$10,131","$7,643",,FEB'24,10.780%,5.280%,2.910%,3.110%,3.820%,4.800%,5.710%,,FEB'24,0.535%,0.419%,0.250%,0.116%,0.351%,0.221%,0.180%
MAR'24,"$5,887","$6,813","$7,000","$8,193","$9,235","$10,193","$7,616",,MAR'24,10.080%,5.260%,2.880%,3.240%,3.740%,4.490%,5.590%,,MAR'24,0.486%,0.363%,0.290%,0.090%,0.212%,0.155%,0.076%
APR'24,"$6,161","$7,149","$7,325","$8,758","$9,361","$10,501","$7,648",,APR'24,10.410%,5.080%,2.950%,3.200%,3.980%,4.440%,5.690%,,APR'24,0.323%,0.282%,0.094%,0.177%,0.104%,0.185%,0.252%
MAY'24,"$6,408","$7,432","$7,697","$8,984","$9,476","$10,180","$7,316",,MAY'24,10.970%,5.200%,3.020%,3.170%,3.940%,5.020%,5.970%,,MAY'24,0.355%,0.209%,0.159%,0.217%,0.205%,0.030%,0.177%
JUN'24,"$6,474","$7,682","$8,088","$9,171","$9,622","$10,373","$7,331",,JUN'24,10.660%,5.400%,3.680%,3.340%,3.900%,5.080%,6.290%,,JUN'24,0.222%,0.143%,0.111%,0.064%,0.102%,0.122%,0.127%
JUL'24,"$6,601","$7,895","$8,539","$9,516","$9,985","$10,445","$7,280",,JUL'24,10.590%,5.730%,3.410%,3.480%,4.040%,5.200%,6.480%,,JUL'24,0.203%,0.328%,0.171%,0.145%,0.101%,0.120%,0.153%
AUG'24,"$6,970","$8,116","$8,771","$9,947","$10,233","$10,741","$7,202",,AUG'24,10.550%,6.080%,3.580%,3.400%,4.130%,5.290%,6.690%,,AUG'24,0.240%,0.289%,0.188%,0.123%,0.223%,,0.127%
SEP'24,"$6,976","$8,244","$8,987","$10,131","$10,346","$10,696","$7,202",,SEP'24,10.550%,6.500%,3.590%,3.620%,4.250%,5.360%,7.010%,,SEP'24,0.181%,0.257%,0.102%,0.121%,0.074%,0.119%,0.205%
OCT'24,"$6,941","$8,319","$9,168","$10,437","$10,627","$10,752","$7,252",,OCT'24,10.520%,6.800%,3.970%,3.590%,4.670%,5.520%,7.140%,,OCT'24,0.249%,0.147%,0.158%,0.079%,0.048%,0.147%,0.178%
NOV'24,"$6,895","$8,470","$9,460","$10,617","$10,973","$10,841","$7,363",,NOV'24,10.780%,6.890%,4.180%,4.090%,4.700%,5.470%,7.530%,,NOV'24,0.232%,0.213%,0.174%,0.097%,0.071%,0.146%,0.152%
DEC'24,"$6,866","$8,421","$9,533","$10,670","$11,092","$10,895","$7,585",,DEC'24,10.430%,7.220%,4.250%,4.150%,4.620%,5.760%,7.720%,,DEC'24,0.109%,0.115%,0.151%,0.153%,0.047%,0.173%,0.178%
AVG,"$6,359","$7,470","$8,023","$9,210","$9,851","$10,488","$7,399",,AVG,10.150%,5.720%,3.370%,3.400%,4.130%,5.060%,6.400%,,AVG,0.298%,0.262%,0.164%,0.126%,0.156%,0.156%,0.209%
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SECURED PERSONAL LOAN,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
DEC'23,"$358,701","$306,114","$317,022","$321,878","$388,893","$447,885","$487,112",,DEC'23,,0.230%,0.130%,0.180%,0.070%,0.160%,0.140%,,DEC'23,,,,,,,
JAN'24,"$410,833","$302,641","$314,462","$321,643","$382,794","$430,172","$485,109",,JAN'24,,0.550%,0.410%,0.240%,0.230%,0.160%,0.130%,,JAN'24,,,,,,,
