UNSECURED CREDIT CARD,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default#,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
DEC'23,"$242,826","$248,233","$266,849","$251,212","$266,073","$252,055","$163,747",,DEC'23,4.410%,3.960%,3.400%,2.620%,2.390%,2.540%,1.450%,,DEC'23,,,,,,,
JAN'24,"$197,079","$272,385","$276,286","$258,806","$260,666","$270,561","$165,704",,JAN'24,2.740%,3.560%,3.170%,1.730%,2.490%,2.410%,1.410%,,JAN'24,,,,,,,
FEB'24,"$199,808","$267,918","$270,795","$253,899","$259,326","$268,818","$164,569",,FEB'24,2.780%,3.060%,2.270%,1.370%,1.920%,2.050%,1.170%,,FEB'24,,,,,,,
MAR'24,"$202,161","$259,498","$260,153","$246,273","$245,982","$255,693","$160,245",,MAR'24,4.900%,4.470%,2.690%,1.770%,1.990%,2.330%,1.270%,,MAR'24,,,,,,,
APR'24,"$202,937","$265,835","$261,371","$239,856","$244,468","$255,512","$159,651",,APR'24,5.000%,3.430%,3.010%,1.880%,2.080%,2.240%,1.280%,,APR'24,,,,,,,
MAY'24,"$204,160","$267,778","$256,371","$237,176","$245,787","$254,977","$157,077",,MAY'24,5.110%,4.900%,3.230%,2.380%,1.890%,2.050%,1.370%,,MAY'24,,,,,0.059%,,
JUN'24,"$201,148","$264,847","$252,033","$238,448","$243,701","$258,429","$156,100",,JUN'24,5.110%,4.350%,3.390%,1.920%,1.610%,1.580%,1.070%,,JUN'24,,,,,,0.045%,
JUL'24,"$200,052","$254,041","$246,468","$237,738","$241,028","$251,010","$153,541",,JUL'24,4.380%,5.520%,2.860%,1.860%,2.300%,1.920%,1.260%,,JUL'24,,,,,,,
AUG'24,"$207,523","$260,879","$248,968","$237,351","$239,671","$254,160","$152,279",,AUG'24,3.010%,5.070%,2.460%,1.820%,2.230%,2.100%,1.160%,,AUG'24,,,,,,,
SEP'24,"$202,037","$249,019","$242,806","$235,867","$244,988","$252,433","$154,335",,SEP'24,3.010%,5.500%,1.900%,2.110%,2.290%,2.100%,1.240%,,SEP'24,,,,,,,
OCT'24,"$202,343","$252,432","$250,455","$241,092","$251,381","$251,998","$154,464",,OCT'24,5.260%,5.250%,2.360%,2.460%,2.300%,2.350%,1.190%,,OCT'24,,,,,,,
NOV'24,"$297,192","$383,612","$391,687","$393,061","$395,919","$399,636","$277,900",,NOV'24,2.700%,2.760%,1.790%,1.420%,1.320%,1.350%,0.890%,,NOV'24,,,,,,,
DEC'24,"$298,314","$380,618","$400,804","$413,379","$396,807","$406,328","$279,635",,DEC'24,1.910%,2.270%,1.540%,0.920%,1.110%,1.130%,0.860%,,DEC'24,,,,,,,
AVG,"$219,814","$279,007","$278,850","$268,012","$271,984","$279,355","$176,865",,AVG,3.870%,4.160%,2.620%,1.870%,1.990%,2.010%,1.200%,,AVG,,,,,0.059%,0.045%,
