Table A.1,,,,,,,,,,,,,,Table A.2,,,,,,,,,,
Consumer Price Index of Key Categories,,,,,,,,,,,,,,YOY Inflation for Key CPI Categories,,,,,,,,,,
Index (2024=100),,,,,,,,,,,,,,,,,,,,,,,,
,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation,,,,,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation
,,,,,,,,,,,,,,,,,,,,,,,,
Table A.1,,,,,,,,,,,,,,Table A.2,,,,,,,,,,
Consumer Price Index of Key Categories,,,,,,,,,,,,,,YOY Inflation for Key CPI Categories,,,,,,,,,,
Index (2024=100),,,,,,,,,,,,,,,,,,,,,,,,
,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation,,,,,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation
Weights,"10,000","6,582","7,803","8,250","2,110","3,173","1,111",188,"1,221","2,197",,,,Weights,"10,000","6,582","7,803","8,250","2,110","3,173","1,111",188,"1,221","2,197"
2023 Jan,111.397,108.195,112.313,111.733,113.743,106.669,100.861,115.037,134.513,108.142,,,,2023 Jan,6.6,5.5,7.1,6.9,8.1,4.2,3.3,11.5,14.3,5
Feb,112.019,108.173,112.622,112.444,113.818,106.27,101.676,115.321,136.608,109.876,,,,Feb,6.3,5.5,6.7,6.5,8.1,3.9,3.8,12.1,12.1,4.9
Mar,112.583,108.441,113.233,113.035,114.243,106.424,101.858,116.237,139.066,110.274,,,,Mar,5.5,5,5.7,5.6,7.7,3.4,3.3,12.2,8.6,4.8
Apr,112.669,108.856,114.019,113.058,114.636,107.085,102.214,113.105,141.854,107.873,,,,Apr,5.7,5,6,5.9,7.1,4.3,2.9,2.7,10.4,4.9
May,113.034,108.957,113.615,113.422,115.061,107.072,101.918,113.89,138.723,110.971,,,,May,5.1,4.7,5.2,5.1,6.8,3.9,2.8,3.3,7.2,4.7
Jun,113.576,109.163,114.219,114.002,115.101,107.513,101.811,113.784,141.475,111.293,,,,Jun,4.5,4.2,4.5,4.5,5.9,3.6,2.7,3.1,5.8,4.5
Jul,113.309,109.383,114.202,113.562,115.293,107.744,101.976,114.494,140.174,110.139,,,,Jul,4.1,3.8,4,4,5.3,3.6,2.6,-1.6,4.8,4.6
Aug,114.303,109.465,114.845,114.685,115.479,107.829,101.874,114.415,143.849,112.378,,,,Aug,4,3.4,3.9,3.9,4.8,3.1,2,-1.4,6.3,4.4
Sep,114.88,109.602,115.495,115.312,115.649,108.146,101.423,114.664,147.267,112.694,,,,Sep,4.1,3,4.1,4.1,4.3,3.1,0.9,-1.4,8.5,4.3
Oct,115.111,110.033,116.226,115.521,115.855,108.61,101.832,117.147,149.612,111.151,,,,Oct,4.7,3.3,4.9,4.9,4.1,3.4,1.6,1.8,11.7,4.2
Nov,114.91,110.154,115.369,115.223,116.248,108.809,101.242,117.157,143.478,113.281,,,,Nov,3.6,3.2,3.4,3.4,4,3.5,1,1.5,4.2,4.1
Dec,115.343,110.866,115.844,115.684,116.34,110.241,101.191,117.168,142.681,113.562,,,,Dec,3.7,3.3,3.6,3.7,3.7,3.9,1.1,1.3,5,4.1
2024 Jan,114.572,111.531,115.728,114.686,117.532,110.226,102.236,121.122,138.351,110.467,,,,2024 Jan,2.9,3.1,3,2.6,3.3,3.3,1.4,5.3,2.9,2.1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table A.1,,,,,,,,,,,,,,Table A.2,,,,,,,,,,
Consumer Price Index of Key Categories,,,,,,,,,,,,,,YOY Inflation for Key CPI Categories,,,,,,,,,,
Index (2019=100),,,,,,,,,,,,,,,,,,,,,,,,
,All Items, MAS Core,CPI Less Accomodation,CPI Less OOA,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation,,,,,All Items, MAS Core,CPI Less Accomodation,CPI Less OOA,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation
Weights,"10,000","6,582","7,803","8,250","2,110","3,173","1,111",188,"1,221","2,197",,,,Weights,"10,000","6,582","7,803","8,250","2,110","3,173","1,111",188,"1,221","2,197"
2022 Jan,104.472,102.516,104.897,104.515,105.197,102.384,97.678,103.199,117.734,102.963,,,,2022 Jan,4,2.4,4.3,4.1,2.6,2.4,?0.3,17.2,14,3.1
Feb,105.379,102.52,105.547,105.552,105.299,102.255,97.951,102.832,121.861,104.783,,,,Feb,4.3,2.2,4.6,4.5,2.3,2,0.2,16.7,17.2,3.3
Mar,106.691,103.24,107.117,107.048,106.057,102.973,98.588,103.615,128.017,105.178,,,,Mar,5.4,2.9,5.9,5.7,3.3,2.6,0.4,17.8,21.5,3.5
Apr,106.547,103.704,107.58,106.76,107.028,102.655,99.308,110.097,128.473,102.879,,,,Apr,5.4,3.3,5.8,5.7,4.1,2.5,1.6,19.7,18.3,3.9
May,107.598,104.087,108.039,107.943,107.685,103.052,99.164,110.273,129.347,106.03,,,,May,5.6,3.6,6.1,5.9,4.5,2.6,1.8,19.9,18.5,4
Jun,108.671,104.764,109.287,109.135,108.7,103.775,99.168,110.336,133.67,106.482,,,,Jun,6.7,4.4,7.4,7.1,5.4,3.4,3.1,20,21.9,4.2
Jul,108.836,105.37,109.819,109.205,109.535,104.033,99.414,116.394,133.799,105.345,,,,Jul,7,4.8,7.7,7.5,6.1,3.5,2.8,24,22.2,4.6
Aug,109.863,105.891,110.488,110.329,110.164,104.544,99.899,116.09,135.265,107.644,,,,Aug,7.5,5.1,8.2,8,6.4,3.8,2.9,23.9,24.1,4.7
Sep,110.339,106.387,110.976,110.804,110.889,104.872,100.495,116.254,135.717,108.075,,,,Sep,7.5,5.3,8.2,7.9,6.9,4,3.1,23.9,22.3,4.9
Oct,109.893,106.496,110.791,110.17,111.255,105.007,100.265,115.02,133.947,106.702,,,,Oct,6.7,5.1,7.2,7,7.1,3.9,2.6,19,17.3,4.9
Nov,110.959,106.719,111.575,111.393,111.759,105.128,100.221,115.38,137.755,108.77,,,,Nov,6.7,5.1,7.3,7,7.3,3.6,3.3,16.7,17.2,4.8
Dec,111.186,107.316,111.79,111.609,112.182,106.111,100.103,115.666,135.911,109.04,,,,Dec,6.5,5.1,6.9,6.7,7.5,3.7,2.8,16.5,15.5,4.7
2023 Jan,111.397,108.195,112.313,111.733,113.743,106.669,100.861,115.037,134.513,108.142,,,,2023 Jan,6.6,5.5,7.1,6.9,8.1,4.2,3.3,11.5,14.3,5
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table A.1,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Index,,,,,,,,,,,,,,Table A.2,,,,,,,,,,
YOY % Growth Index (2014=100),,,,,,,,,,,,,,Selected Inflation Indicators,,,,,,,,,,
,All Items,Food,Clothing & Footwear,Housing & Utilities,Household Durables & Services,Health Care,Transport,Comms,Recreation & Culture,Education,Miscellaneous Goods & Services,"All-Items, S.A.",,YOY % GROWTH,,,,,,,,,,
Weights,10000,2167,273,2625,475,615,1579,385,788,615,478,10000,,,CPI,MAS Core Inflation,CPI Less Imputed Rental on OOA,Import Price Index,S&P Non-Energy GSCI Index,Brent Crude Spot Prices,,,,
2018 Jan,0,1.1,1,-3.6,1.2,2.3,0.7,0,0.8,2.8,0.5,99.9,,2018 Jan,0,1.4,1,-0.2,5.4,69.1,,,,
Feb,0.5,1.5,0.7,-2.1,0.8,2.5,0.6,-0.1,1.6,2.9,0.4,99.7,,Feb,0.5,1.7,1.5,-0.1,4.4,65.3,,,,
Mar,0.2,1.4,1.2,-2,0.7,2.1,-0.5,-0.3,0.6,3,1,99.6,,Mar,0.2,1.5,1.2,1.5,5.1,66,,,,
Apr,0.1,1.4,0.8,-2.3,0.7,2,-0.7,-1.3,0.7,2.9,0.5,99.9,,Apr,0.1,1.3,0.9,1.7,6.7,72.1,,,,
May,0.4,1.3,0.6,-2,0.8,2.3,0,-0.8,1.2,2.9,1.1,99.8,,May,0.4,1.5,1.2,6.6,6.9,77,,,,
